n,CPU,GPU
2,5.00679e-06,0.00339007
4,8.10623e-06,0.00323987
8,4.05312e-06,0.00376296
16,5.96046e-06,0.00381398
32,5.96046e-06,0.00333786
64,6.91414e-06,0.00323391
128,1.40667e-05,0.00324011
256,9.39369e-05,0.00697613
512,0.000118017,0.00704312
1024,0.000181913,0.00708508
2048,0.000306845,0.00767994
4096,0.000705004,0.00812387
8192,0.00114703,0.00729609
16384,0.00226593,0.00782204
32768,0.00479889,0.012639
65536,0.010102,0.031179
131072,0.021518,0.0360322
262144,0.064079,0.0485091
524288,0.095269,0.0565209
1048576,0.199829,0.089864
2097152,0.42422,0.15297
4194304,0.879373,0.289269
8388608,1.79402,0.536102
16777216,3.69126,1.05797
33554432,7.53237,2.06782
67108864,15.7064,4.10611
